id,date,client,age,ville,region,produit,categorie,quantite,prix_unitaire,total,paiement,satisfaction
47,2024-11-05,Georges Mbeki,33.0,Paris,PACA,Webcam HD,Périphérique,97,965.65,93668.05,Espèces,3.0
14,2024-05-28,Mohamed Traoré,56.0,Paris,Auvergne-Rhône-Alpes,Clavier Mécanique,Périphérique,77,953.61,73427.97,carte bancaire,1.0
7,2024-06-28,Laura Petit,24.0,paris,Île-de-France,Écran 4K,Informatique,3,9275.73,27827.19,Virement,4.0
23,2024-01-28,Alice Martin,58.0,Bruxelles,,Écran 4K,Informatique,5,5354.89,26774.45,Espèces,1.0
61,2024-03-12,Hana Yamada,24.0,Dakar,Afrique de l'Ouest,Clavier Mécanique,Périphérique,1,9301.34,9301.34,Espèces,4.0
39,2024-09-18,Hana Yamada,59.0,Nantes,,Casque Audio,Audio,5,1180.87,5904.35,Carte Bancaire,5.0
68,2024-07-05,Alice Martin,19.0,Lyon,Canada,Disque SSD,Stockage,5,1136.08,5680.4,carte bancaire,5.0
99,2024-07-05,Alice Martin,19.0,Lyon,Canada,Disque SSD,Stockage,5,1136.08,5680.4,carte bancaire,5.0
17,2024-07-18,Laura Petit,,Marseille,,Clavier Mécanique,Périphérique,5,1096.46,5482.3,Mobile Money,3.0
15,01/01/2024,Julia Santos,18.0,Abidjan,,Casque Audio,Audio,5,1035.02,5175.1,Mobile Money,1.0
95,2024-06-25,Ibrahim Koné,32.0,Bordeaux,Canada,Imprimante,Informatique,5,952.03,4760.15,carte bancaire,5.0
79,2024-09-18,Mohamed Traoré,40.0,Marseille,Île-de-France,Souris Sans Fil,Périphérique,5,942.42,4712.1,carte bancaire,5.0
46,2024-12-12,Fatou Diallo,33.0,Bordeaux,,Disque SSD,Stockage,5,903.13,4515.65,Espèces,2.0
60,12/11/2024,Hana Yamada,54.0,Bruxelles,Auvergne-Rhône-Alpes,Hub USB,Périphérique,4,1065.07,4260.28,Mobile Money,2.0
53,2024-06-18,Laura Petit,65.0,Dakar,Île-de-France,Tapis de Souris,Accessoire,5,828.93,4144.65,Virement,2.0
42,2024-10-28,Omar Sy,20.0,Strasbourg,Île-de-France,Souris Sans Fil,Périphérique,4,997.78,3991.12,Virement,1.0
82,2024-11-28,Omar Sy,55.0,Casablanca,,Hub USB,Périphérique,4,993.5,3974.0,Virement,3.0
90,07-06-2024,Laura Petit,24.0,Abidjan,Afrique du Nord,Imprimante,Informatique,5,722.2,3611.0,Virement,2.0
66,2024-03-28,Emma Leclerc,23.0,Lyon,Afrique du Nord,Webcam HD,Périphérique,3,1073.24,3219.72,Espèces,
38,2024-03-05,David Osei,33.0,Casablanca,Afrique du Nord,Clavier Mécanique,Périphérique,3,1058.82,3176.46,Virement,3.0
